Ready to Parse files17:30:54 - Loading in to memory
17:30:54 - Converting Items
17:30:54 - Starting file write
17:30:54 - Stopping...
17:30:54 - 1 Files saved
17:30:54 - 2 Files saved
17:30:54 - 3 Files saved
17:30:54 - 4 Files saved
17:30:55 - 5 Files saved
17:30:55 - 6 Files saved
17:30:55 - Complete
17:30:55 - Loading in to memory
17:30:55 - Converting Items
17:31:24 - Starting file write
17:31:24 - Stopping...
17:31:34 - 1 Files saved
17:31:38 - 2 Files saved
17:31:41 - 3 Files saved
17:31:44 - 4 Files saved
17:31:47 - 5 Files saved
17:31:50 - 6 Files saved
17:31:53 - 7 Files saved
17:31:57 - 8 Files saved
17:32:00 - 9 Files saved
17:32:09 - 10 Files saved
17:32:09 - 11 Files saved
17:32:17 - 12 Files saved
17:32:20 - 13 Files saved
17:32:28 - 14 Files saved
17:32:41 - 15 Files saved
17:32:45 - 16 Files saved
17:32:48 - 17 Files saved
17:32:52 - 18 Files saved
17:32:59 - 19 Files saved
17:33:01 - 20 Files saved
17:33:04 - 21 Files saved
17:33:06 - 22 Files saved
17:33:12 - 23 Files saved
17:33:17 - 24 Files saved
17:33:22 - 25 Files saved
17:33:24 - 26 Files saved
17:33:27 - 27 Files saved
17:33:31 - 28 Files saved
17:33:34 - 29 Files saved
17:33:36 - 30 Files saved
17:33:38 - 31 Files saved
17:33:42 - 32 Files saved
17:33:46 - 33 Files saved
17:33:51 - 34 Files saved
17:33:55 - 35 Files saved
17:33:58 - 36 Files saved
17:34:01 - 37 Files saved
17:34:04 - 38 Files saved
17:34:07 - 39 Files saved
17:34:10 - 40 Files saved
17:34:18 - 41 Files saved
17:34:22 - 42 Files saved
17:34:26 - 43 Files saved
17:34:30 - 44 Files saved
17:34:33 - 45 Files saved
17:34:36 - 46 Files saved
17:34:40 - 47 Files saved
17:34:48 - 48 Files saved
17:34:51 - 49 Files saved
17:34:55 - 50 Files saved
17:34:59 - 51 Files saved
17:35:05 - 52 Files saved
17:35:08 - 53 Files saved
17:35:16 - 54 Files saved
17:35:21 - 55 Files saved
17:35:24 - 56 Files saved
17:35:27 - 57 Files saved
17:35:30 - 58 Files saved
17:35:35 - 59 Files saved
17:35:41 - 60 Files saved
17:35:46 - 61 Files saved
17:35:49 - 62 Files saved
17:35:52 - 63 Files saved
17:35:55 - 64 Files saved
17:35:58 - 65 Files saved
17:36:04 - 66 Files saved
17:36:10 - 67 Files saved
17:36:15 - 68 Files saved
17:36:19 - 69 Files saved
17:36:23 - 70 Files saved
17:36:26 - 71 Files saved
17:36:32 - 72 Files saved
17:36:38 - 73 Files saved
17:36:41 - 74 Files saved
17:36:45 - 75 Files saved
17:36:49 - 76 Files saved
